iter	Passed	Remaining
0	0	352
1	0	310
2	0	325
3	1	321
4	1	317
5	1	309
6	2	304
7	2	298
8	2	310
9	3	307
10	3	304
11	3	297
12	3	297
13	4	294
14	4	293
15	4	290
16	5	289
17	5	289
18	5	289
19	5	288
20	6	288
21	6	288
22	6	287
23	7	287
24	7	286
25	7	286
26	7	283
27	8	283
28	8	283
29	8	283
30	9	283
31	9	283
32	9	284
33	9	283
34	10	282
35	10	281
36	10	281
37	11	281
38	11	280
39	11	280
40	11	280
41	12	280
42	12	279
43	12	278
44	13	277
45	13	277
46	13	279
47	14	279
48	14	279
49	14	278
50	14	278
51	15	278
52	15	277
53	15	277
54	16	275
55	16	275
56	16	274
57	16	274
58	17	274
59	17	274
60	17	273
61	18	273
62	18	271
63	18	272
64	18	272
65	19	273
66	19	273
67	19	273
68	20	273
69	20	273
70	20	272
71	21	281
72	22	281
73	22	280
74	22	280
75	23	280
76	23	279
77	23	279
78	23	279
79	25	287
80	25	287
81	25	287
82	25	286
83	26	286
84	26	287
85	26	286
86	27	286
87	27	285
88	27	284
89	28	284
90	28	283
91	28	283
92	29	282
93	29	282
94	29	282
95	29	281
96	30	281
97	30	280
98	30	280
99	31	279
100	31	278
101	31	278
102	31	277
103	32	276
104	32	276
105	32	275
106	32	275
107	33	274
108	33	274
109	33	273
110	34	273
111	34	272
112	34	272
113	34	271
114	35	271
115	35	271
116	35	270
117	36	270
118	36	269
119	36	269
120	37	268
121	37	268
122	37	268
123	37	267
124	38	267
125	38	267
126	38	266
127	39	266
128	39	265
129	39	265
130	39	265
131	40	265
132	40	264
133	40	264
134	41	263
135	41	263
136	41	262
137	42	262
138	42	262
139	42	261
140	42	261
141	43	260
142	43	261
143	43	260
144	44	260
145	44	260
146	44	259
147	45	259
148	45	259
149	45	258
150	45	258
151	46	258
152	46	257
153	46	257
154	47	257
155	47	256
156	47	256
157	48	255
158	48	255
159	48	255
160	48	255
161	49	254
162	49	254
163	49	254
164	50	253
165	50	253
166	50	253
167	51	253
168	51	252
169	51	252
